"X","Y","Z"
106.970550538,10.3948135390001,0
106.976219177,10.399692535,0
106.980964661,10.405230522,0
106.985610962,10.4131956100001,0
106.985298157,10.4182024,0
106.982292176,10.4247455590001,0
106.972602844,10.4331607830001,0
106.962684632,10.4384946830001,0
106.9661026,10.4464893350001,0
106.980857849,10.4473447800001,0
106.991470336,10.4509468090001,0
106.996582031,10.4604902260001,0
106.998207092,10.4786367420002,0
106.997352599,10.5032157910002,0
107.000190735,10.5071115490001,0
107.005744935,10.5093688970002,0
107.006965637,10.51051426,0
107.009498596,10.5141191490001,0
107.01248169,10.5205469130001,0
107.018630981,10.529051781,0
107.024040222,10.533820153,0
107.02709961,10.5377969740002,0
107.027275086,10.542059899,0
107.025009155,10.5459070210002,0
107.014717103,10.547947884,0
107.012283326,10.5503673550001,0
107.010688782,10.5546150220001,0
107.010734559,10.5578298570001,0
107.011947631,10.5607023250001,0
107.024230956,10.5785436630001,0
107.026657105,10.58347702,0
107.027008056,10.5863418590002,0
107.026596069,10.588459968,0
107.022270202,10.595083236,0
107.019058227,10.6043872840002,0
107.017448426,10.6065206540001,0
107.01248169,10.6100988390001,0
107.007949828,10.6132612230001,0
107.00655365,10.609838487,0
107.002922058,10.6108961120001,0
107.002151489,10.6104230870001,0
107.002578736,10.608635903,0
107.000663757,10.6070919040001,0
106.998054505,10.607663155,0
106.996330261,10.6054563520001,0
106.992149353,10.605690956,0
106.990692139,10.6048879630001,0
106.990608216,10.6006965640001,0
106.986045837,10.5960254670001,0
106.987052917,10.587846757,0
106.98386383,10.5794343950001,0
106.979888916,10.5817327500001,0
106.974586487,10.58236885,0
106.968559265,10.5894041070001,0
106.963203429,10.5914506910001,0
106.96067047,10.5935411460001,0
106.956260681,10.5939559930001,0
106.946853638,10.597257615,0
106.941383362,10.5966882710001,0
106.938362122,10.599245071,0
106.934585571,10.6007642750001,0
106.932785034,10.6018962850002,0
106.926536561,10.6034812920001,0
106.920639037,10.6100416190002,0
106.918197632,10.6099081030001,0
106.913917542,10.6075057980001,0
106.911369323,10.6082715990001,0
106.909698487,10.610023498,0
106.90561676,10.6207799920001,0
106.903388976,10.6247997280001,0
106.898391724,10.629342079,0
106.892730712,10.6322031030001,0
106.889564513,10.6375455860001,0
106.885063172,10.6402559280002,0
106.882965089,10.6474046700001,0
106.874908447,10.6483774180002,0
106.872909545,10.6480846420001,0
106.871856689,10.6469860080001,0
106.8699646,10.6431732190001,0
106.864974976,10.6422996530001,0
106.863739013,10.6414814000001,0
106.861564636,10.6376543050001,0
106.860046387,10.6365547190001,0
106.851539612,10.6397895810001,0
106.842803955,10.6380205150001,0
106.840362548,10.635622025,0
106.837615967,10.6270427710002,0
106.826644897,10.6278038020002,0
106.823928833,10.6290426250001,0
106.814056397,10.6405487060001,0
106.80897522,10.6549844750002,0
106.807083131,10.6574563980001,0
106.797187805,10.662158966,0
106.7922287,10.667312623,0
106.782798768,10.6730594640001,0
106.772758485,10.6762924190002,0
106.77217865,10.677515031,0
106.770973206,10.6800909040001,0
106.760124206,10.6910867690002,0
106.757308961,10.694090843,0
106.751945495,10.7049779900001,0
106.750953673,10.7137279510001,0
106.75200653,10.7210989010002,0
106.753845214,10.7248249050001,0
106.767738342,10.7419271470001,0
106.77622223,10.7487192150001,0
106.791252136,10.7556037900001,0
106.799156189,10.7589931490001,0
106.803298951,10.7625188840001,0
106.80557251,10.7700881960002,0
106.810089112,10.7746171960001,0
106.81639862,10.7799053190001,0
106.819541932,10.7809333800001,0
106.822013855,10.7808046340001,0
106.824829102,10.7786130910001,0
106.826087951,10.7739410400001,0
106.823623658,10.7666015630001,0
106.823143006,10.761590003,0
106.82434082,10.7595577250001,0
106.828086853,10.760149956,0
106.830070495,10.761910438,0
106.831672668,10.7648515710001,0
106.840339661,10.7733078000001,0
106.845687867,10.7751255050002,0
106.848243714,10.7753839500002,0
106.851921082,10.774642945,0
106.856956483,10.7717370990001,0
106.86302948,10.7653818130001,0
106.864959718,10.7645320890001,0
106.868072509,10.7643976220001,0
106.872589111,10.7663326260001,0
106.874557495,10.7695207600001,0
106.874221802,10.7742290500001,0
106.872184754,10.7776374820001,0
106.866111755,10.7827920920001,0
106.864730835,10.7859201430002,0
106.865318297,10.7891092300002,0
106.878211976,10.8005437860002,0
106.880973816,10.80474186,0
106.88191986,10.8084888460001,0
106.881324767,10.8142309200001,0
106.880119323,10.8169403070002,0
106.87273407,10.8250017170001,0
106.871643066,10.826190948,0
106.856689453,10.8426780700001,0
106.849571229,10.8562412260002,0
106.846733094,10.8648767480001,0
106.850761413,10.873081208,0
106.851066589,10.8762826920002,0
106.845954895,10.8822898870001,0
106.843589782,10.88396454,0
106.843017577,10.8912868510001,0
106.840240479,10.8989286430001,0
106.833923341,10.8982973090002,0
106.829711914,10.894795418,0
106.828041078,10.894229889,0
106.826782226,10.8947391520002,0
106.825820924,10.893693924,0
106.825080872,10.8938093190001,0
106.825126649,10.8929233550001,0
106.823760987,10.89202404,0
106.824920654,10.888216019,0
106.821830749,10.8860044480001,0
106.820884705,10.8857526790001,0
106.820075989,10.8864622120001,0
106.819343568,10.8859243390001,0
106.818946839,10.8844470980002,0
106.817802428,10.8842277520001,0
106.817298889,10.8813314440001,0
106.816307068,10.881352425,0
106.813812256,10.878423691,0
106.812797546,10.878827094,0
106.808570863,10.8730268480001,0
106.805244445,10.8750457770001,0
106.804412841,10.8737039570001,0
106.801284789,10.8735961920002,0
106.798614502,10.872015,0
106.79750824,10.8732223520001,0
106.794929504,10.873538017,0
106.792167664,10.8719749460001,0
106.78892517,10.8719520570001,0
106.788032531,10.8703727730002,0
106.787757873,10.867210388,0
106.779945374,10.8683872230002,0
106.781913757,10.8739652640001,0
106.782089234,10.876401901,0
106.780532837,10.88149929,0
106.776618958,10.8850879680001,0
106.775543213,10.8872156150002,0
106.769676208,10.8938446050001,0
106.768432617,10.8936042790002,0
106.768432617,10.8923358920001,0
106.76727295,10.8924970620001,0
106.767692565,10.8916244510001,0
106.76689148,10.89153862,0
106.76625061,10.8891553880002,0
106.764556885,10.884854317,0
106.760528564,10.8812541960002,0
106.761962891,10.878710746,0
106.761413573,10.878510475,0
106.761924744,10.8755607610001,0
106.76133728,10.8745536810001,0
106.761802674,10.8743953710001,0
106.760391235,10.8723878850001,0
106.763282776,10.8699331280001,0
106.762214661,10.8672628400001,0
106.754638671,10.86631012,0
106.751762391,10.8633699420001,0
106.751228333,10.864435197,0
106.750526428,10.8640260710001,0
106.748710633,10.8656349190002,0
106.747901917,10.868369102,0
106.747932434,10.869297981,0
106.746002196,10.8717298520001,0
106.747047425,10.8720703130001,0
106.746444702,10.8738775250001,0
106.751365662,10.8754844670001,0
106.750434876,10.877224922,0
106.749420166,10.8767852790001,0
106.74849701,10.8782691960001,0
106.747184754,10.877385139,0
106.744689942,10.8800725950002,0
106.745681763,10.8807773580001,0
106.745048524,10.881582261,0
106.742996215,10.8803186420002,0
106.74118805,10.881355285,0
106.739662171,10.8810319900001,0
106.738151551,10.8791599270002,0
106.734207153,10.8805198660002,0
106.736686707,10.884585381,0
106.731315613,10.8859539030001,0
106.732444763,10.8906402580001,0
106.729248046,10.889433861,0
106.728462219,10.8909254080001,0
106.727546691,10.8901338590001,0
106.726409913,10.8907051080001,0
106.717613221,10.8963804240001,0
106.713104247,10.889889718,0
106.714500427,10.8881683350002,0
106.713821411,10.887527467,0
106.714477539,10.886789322,0
106.715606689,10.8877429970001,0
106.717536927,10.8878335960001,0
106.716583252,10.8847112650001,0
106.717956542,10.880854607,0
106.713798522,10.879149437,0
106.712593078,10.877949715,0
106.713806152,10.8778638840001,0
106.714057922,10.876966477,0
106.715286254,10.8774728780001,0
106.721244811,10.876362801,0
106.723533631,10.871847152,0
106.715393067,10.872760773,0
106.714920044,10.8722314830001,0
106.715583801,10.8685331340001,0
106.713226318,10.8658895500002,0
106.702804565,10.8669614790002,0
106.699867249,10.868433952,0
106.696884155,10.8712959290002,0
106.689308167,10.881191255,0
106.689018249,10.88497162,0
106.691490174,10.889369011,0
106.693817138,10.893481256,0
106.694534302,10.8962440500002,0
106.692749023,10.9041719440001,0
106.69002533,10.9111261380002,0
106.684890747,10.9211397170001,0
106.680763244,10.9235219960001,0
106.667907714,10.9209423080002,0
106.664802551,10.9218826290001,0
106.657234192,10.9259357450001,0
106.653236389,10.9293108000002,0
106.650428772,10.9339160930001,0
106.650077819,10.9378986370001,0
106.65132904,10.942477227,0
106.652244568,10.947338105,0
106.652053834,10.9527502060001,0
106.648834228,10.9643402110001,0
106.648880005,10.9692192080001,0
106.650192261,10.9729833610001,0
106.648399353,10.9808216090001,0
106.646026611,10.981560708,0
106.643310547,10.980935097,0
106.636917114,10.9776105880001,0
106.627929688,10.9794836040001,0
106.625061036,10.9810771950001,0
106.621955871,10.984771729,0
106.617088318,10.9880981450002,0
106.615821838,10.9909019460001,0
106.616683959,10.9940414430002,0
106.621017457,11.001879693,0
106.621307373,11.0036773670001,0
106.620056152,11.0081625,0
106.617500305,11.0110216140001,0
106.615890504,11.0114851000001,0
106.608345031,11.011837007,0
106.59931183,11.0146369930001,0
106.597511291,11.0168323510001,0
106.595191956,11.0256509790001,0
106.595565797,11.0299768450001,0
106.603294372,11.039573669,0
106.602996825,11.0411062240001,0
106.600227355,11.0447483070001,0
106.596183776,11.0457534790002,0
106.592811585,11.0432357780001,0
106.591041565,11.0369052890001,0
106.586486816,11.0364065180001,0
106.582771302,11.0382146830001,0
106.581153869,11.0416202550001,0
106.57962799,11.04769802,0
106.572662354,11.054627419,0
106.571678162,11.054294587,0
106.569007875,11.0507526400002,0
106.56842041,11.0466194150001,0
106.567573548,11.0454435340002,0
106.564613342,11.0449342730001,0
106.558784486,11.0455493920001,0
106.549888611,11.0462846760001,0
106.546264649,11.0521326080001,0
106.534317017,11.0575475690001,0
106.531684876,11.0612764360001,0
106.529716491,11.0656576160001,0
106.525222778,11.0697927480001,0
106.523834228,11.0736627590001,0
106.526062012,11.0797691350002,0
106.533058167,11.087321282,0
106.534133911,11.090201379,0
106.532600404,11.0920448310001,0
106.530166627,11.0924062730001,0
106.527290345,11.0916595450001,0
106.524436951,11.0895423880001,0
106.523162842,11.0898637780001,0
106.517448426,11.0975112920001,0
106.516197205,11.1008043290001,0
106.516532898,11.1016101840002,0
106.524162293,11.1037235250001,0
106.526023865,11.105278016,0
106.527801514,11.1146249780002,0
106.526870728,11.117885589,0
106.52696991,11.1203327180001,0
106.526176453,11.1214733120001,0
106.521354674,11.1218032850002,0
106.51737213,11.1242151260001,0
106.515312194,11.1263370520001,0
106.51373291,11.1287927630001,0
106.51171112,11.134901046,0
106.508598327,11.1392498020001,0
106.507644654,11.1419696800001,0
106.506156922,11.1420307150001,0
106.501464845,11.1401538850001,0
106.494911193,11.143618585,0
106.491462708,11.144508362,0
106.48840332,11.1443700800001,0
106.482421875,11.142499925,0
106.479454041,11.1422758100001,0
106.47228241,11.143343927,0
106.467239381,11.147885322,0
106.471168518,11.153635979,0
106.470954895,11.1552543650002,0
106.466293334,11.157217027,0
106.46385193,11.1600103380001,0
106.459671021,11.1583642960002,0
106.456146241,11.160309792,0
106.452766418,11.1581773770001,0
106.451461792,11.1534824370001,0
106.451812743,11.151982307,0
106.452690124,11.1514463420002,0
106.456336975,11.1534023280001,0
106.457748414,11.1529150000001,0
106.458282471,11.1479597100001,0
106.456314087,11.1414871220002,0
106.450897217,11.1364374160001,0
106.445777893,11.1358318320001,0
106.448402406,11.1308708200002,0
106.444786071,11.1267623900001,0
106.442382813,11.1158399580002,0
106.437812805,11.1121664060001,0
106.437408448,11.109901427,0
106.433845521,11.1002225890002,0
106.433090211,11.1003017420001,0
106.432289123,11.0982923510002,0
106.431556701,11.0982904430002,0
106.430847168,11.092061996,0
106.425971985,11.0916194910001,0
106.426544189,11.084137917,0
106.42602539,11.07794571,0
106.427352905,11.0740146630001,0
